26	1.5336600847650039e-02	9.6596361897382348e-03	1.0971579033998575e-02
27	1.5452620954474892e-02	9.6680328758613036e-03	1.0974190552555109e-02
28	1.5568364717448996e-02	9.6771115647607507e-03	1.0976783635606611e-02
29	1.5683823083103978e-02	9.6868720673933990e-03	1.0979356006600762e-02
30	1.5798980126391755e-02	9.6973194843741357e-03	1.0981909782220302e-02
31	1.5913823890214011e-02	9.7084558690909185e-03	1.0984447722546576e-02
32	1.6028353510592813e-02	9.7202797004951446e-03	1.0986970369847139e-02
33	1.6142573113291255e-02	9.7327987862167696e-03	1.0989476260954503e-02
34	1.6256474409720480e-02	9.7460228762897595e-03	1.0991969609553178e-02
35	1.6370044426457425e-02	9.7599526283356011e-03	1.0994462197672477e-02
36	1.6483274072297459e-02	9.7745883175527921e-03	1.0996964093482685e-02
37	1.6596156146226521e-02	9.7899339354983028e-03	1.0999481667612214e-02
38	1.6708689972333733e-02	9.8059925363323860e-03	1.1002020354862536e-02
39	1.6820871424664922e-02	9.8227701374363017e-03	1.1004577792380881e-02
40	1.6932688559149471e-02	9.8402714643795134e-03	1.1007151535954478e-02
41	1.7044136218591247e-02	9.8584955343307794e-03	1.1009742975123978e-02
42	1.7155208038043220e-02	9.8774381968006458e-03	1.1012349007025173e-02
43	1.7265889094502874e-02	9.8970984954410719e-03	1.1014966784085757e-02
44	1.7376160189595324e-02	9.9174853829977899e-03	1.1017591858103882e-02
45	1.7486000742156210e-02	9.9386080781974379e-03	1.1020216705756708e-02
46	1.7595397241509714e-02	9.9604687791266661e-03	1.1022838307985585e-02
47	1.7704346754857502e-02	9.9830693060984580e-03	1.1025458159151659e-02
48	1.7812846289264411e-02	1.0006405690335889e-02	1.1028085003264331e-02
49	1.7920881945563700e-02	1.0030474231814978e-02	1.1030727961922868e-02
50	1.8028436781491627e-02	1.0055281053715977e-02	1.1033386273659606e-02
51	1.8135502195132533e-02	1.0080834006614503e-02	1.1036061764052151e-02
52	1.8242068316869746e-02	1.0107137547717068e-02	1.1038760841992899e-02
53	1.8348122641616098e-02	1.0134193744922299e-02	1.1041483157750690e-02
54	1.8453655979732416e-02	1.0162014437987756e-02	1.1044228976280266e-02
55	1.8558662665869568e-02	1.0190612347195973e-02	1.1046999084153219e-02
56	1.8663140927226377e-02	1.0219992832595894e-02	1.1049785880625759e-02
57	1.8767076747522531e-02	1.0250164018473888e-02	1.1052577038026397e-02
58	1.8870457727265519e-02	1.0281131852592473e-02	1.1055364005606973e-02
59	1.8973276840524161e-02	1.0312904840956231e-02	1.1058145350161632e-02
60	1.9075518844370025e-02	1.0345490273067586e-02	1.1060922934119371e-02
61	1.9177169343003529e-02	1.0378891231114781e-02	1.1063697778432009e-02
62	1.9278220881505853e-02	1.0413109616674337e-02	1.1066469662337318e-02
63	1.9378671173848908e-02	1.0448148583537787e-02	1.1069237107069797e-02
64	1.9478509954253549e-02	1.0484015304874359e-02	1.1071997791669142e-02
65	1.9577725926340644e-02	1.0520716377558031e-02	1.1074751225754789e-02
66	1.9676314401670791e-02	1.0558260674414842e-02	1.1077499647686524e-02
67	1.9774264938110530e-02	1.0596650120804282e-02	1.1080242436300416e-02
68	1.9871571530071200e-02	1.0635885970029796e-02	1.1082987108828561e-02
69	1.9968226952734269e-02	1.0675970223552831e-02	1.1085742230725181e-02
70	2.0064223876360358e-02	1.0716900925517168e-02	1.1088502618453837e-02
71	2.0159563121833594e-02	1.0758682940362195e-02	1.1091267494611964e-02
72	2.0254236250080843e-02	1.0801316412595317e-02	1.1094039706090995e-02
73	2.0348244879859166e-02	1.0844799149726764e-02	1.1096810480744798e-02
74	2.0441592671138854e-02	1.0889137149637762e-02	1.1099564462928084e-02
75	2.0534271772168763e-02	1.0934337031150208e-02	1.1102298242988726e-02
76	2.0626283948146255e-02	1.0980400635765721e-02	1.1105017733427662e-02
77	2.0717630407398272e-02	1.1027325199623086e-02	1.1107713679709636e-02
78	2.0808304826440319e-02	1.1075104973343344e-02	1.1110373160671438e-02
79	2.0898303270682327e-02	1.1123735693145280e-02	1.1112994049546672e-02
80	2.0987626389133301e-02	1.1173213230577952e-02	1.1115578505011568e-02
81	2.1076278591029972e-02	1.1223541345613548e-02	1.1118127476363758e-02
82	2.1164264816647901e-02	1.1274728462459367e-02	1.1120639960827577e-02
83	2.1251585102195415e-02	1.1326769201508604e-02	1.1123115725162209e-02
84	2.1338242539540146e-02	1.1379660111202195e-02	1.1125549772792325e-02
85	2.1424241892727500e-02	1.1433406599291551e-02	1.1127934955039796e-02
86	2.1509581553002356e-02	1.1488010094395439e-02	1.1130270356497263e-02
87	2.1594258717630464e-02	1.1543464566206333e-02	1.1132559146237035e-02
88	2.1678276206087563e-02	1.1599761587652444e-02	1.1134802553126226e-02
89	2.1761638431041001e-02	1.1656894444745800e-02	1.1136998998110402e-02
90	2.1844347620883480e-02	1.1714861311806079e-02	1.1139145640600465e-02
91	2.1926409157310568e-02	1.1773664545455696e-02	1.1141239782475722e-02
92	2.2007822293776912e-02	1.1833303206197012e-02	1.1143274353170664e-02
93	2.2088584783944629e-02	1.1893775339130412e-02	1.1145244355623423e-02
94	2.2168703152119752e-02	1.1955078362307572e-02	1.1147153017219939e-02
95	2.2248179608578694e-02	1.2017203318086568e-02	1.1149006353402997e-02
96	2.2327018540606966e-02	1.2080141529691784e-02	1.1150809790165729e-02
97	2.2405230332726317e-02	1.2143893542766196e-02	1.1152567075699166e-02
98	2.2482823998130327e-02	1.2208460912965936e-02	1.1154281559231543e-02
99	2.2559806643209317e-02	1.2273843043898655e-02	1.1155954572186573e-02
100	2.2636181792700757e-02	1.2340035606039010e-02	1.1157585099831960e-02
101	2.2711944457422126e-02	1.2407034114763273e-02	1.1159172606014577e-02
102	2.2787092534044352e-02	1.2474838957725370e-02	1.1160717672041996e-02
103	2.2861635594083191e-02	1.2543444995288158e-02	1.1162225463482174e-02
104	2.2935575869898681e-02	1.2612841949702627e-02	1.1163695641506660e-02
