0	-1.2493833575566816e-02	-4.1829485033776466e-03	-2.9583974700020171e-03
1	-1.2608810303880832e-02	-4.0938080947416130e-03	-2.8937692662111348e-03
2	-1.2725207182432986e-02	-4.0043858812705115e-03	-2.8285946496647224e-03
3	-1.2842903550353489e-02	-3.9150860954008477e-03	-2.7628506944673082e-03
4	-1.2961832947629464e-02	-3.8262633684616526e-03	-2.6965440170353770e-03
5	-1.3081965612507631e-02	-3.7381560071008814e-03	-2.6297210216793400e-03
6	-1.3203254955790627e-02	-3.6509147178155838e-03	-2.5624522270647305e-03
7	-1.3325608597787789e-02	-3.5646364218349502e-03	-2.4947678201204340e-03
8	-1.3448931311672263e-02	-3.4793926390522720e-03	-2.4266721894987569e-03
9	-1.3573184572781227e-02	-3.3952379203651267e-03	-2.3581842289193385e-03
10	-1.3698373850750668e-02	-3.3121934107930855e-03	-2.2893329222981253e-03
11	-1.3824480420957255e-02	-3.2302411252955864e-03	-2.2201139148168960e-03
12	-1.3951527772100149e-02	-3.1492901563506333e-03	-2.1505649814969365e-03
13	-1.4079502818639339e-02	-3.0692496513596711e-03	-2.0805669456398753e-03
14	-1.4208441903463582e-02	-2.9899874326639289e-03	-2.0100702715583536e-03
15	-1.4338407239985059e-02	-2.9113787526526720e-03	-1.9390264349316586e-03
16	-1.4469464640366718e-02	-2.8333080253914425e-03	-1.8673743927506894e-03
17	-1.4601627726173192e-02	-2.7556621183196001e-03	-1.7949748632542751e-03
18	-1.4735022968013805e-02	-2.6783130789841715e-03	-1.7219678379030146e-03
19	-1.4869654638031310e-02	-2.6012007775464839e-03	-1.6482832835868790e-03
20	-1.5005527753778438e-02	-2.5242800804173011e-03	-1.5738895032355849e-03
21	-1.5142702665522638e-02	-2.4475363019166967e-03	-1.4988393070002729e-03
22	-1.5281214538428508e-02	-2.3709823709444021e-03	-1.4232402001678910e-03
23	-1.5421012188329393e-02	-2.2946084083665681e-03	-1.3470992671910809e-03
24	-1.5562107409752564e-02	-2.2183861415069881e-03	-1.2705173146001327e-03
25	-1.5704483010777880e-02	-2.1422942397898814e-03	-1.1935224415745721e-03
26	-1.5848127882298425e-02	-2.0663357851191276e-03	-1.1161382106621258e-03
27	-1.5993024623357319e-02	-1.9905335849836653e-03	-1.0384075642402295e-03
28	-1.6139144912440683e-02	-1.9149081671109864e-03	-9.6041408889645003e-04
29	-1.6286460989508023e-02	-1.8394744599828498e-03	-8.8226105807776511e-04
30	-1.6434915125786480e-02	-1.7642472335888356e-03	-8.0405568691959621e-04
31	-1.6584434101114195e-02	-1.6892224326918407e-03	-7.2591629533466661e-04
32	-1.6734968937300122e-02	-1.6143819071591273e-03	-6.4796455330111218e-04
33	-1.6886465843217159e-02	-1.5397014897080544e-03	-5.7028710915450417e-04
34	-1.7038915477009659e-02	-1.4651647626185010e-03	-4.9303780578075916e-04
35	-1.7192271921113111e-02	-1.3907307657548701e-03	-4.1626960908144282e-04
